區域,縣市,學校,學前,國小,國中,高中職
北,新北市,新北特殊教育學校,0,1,5,312
北,宜蘭縣,宜蘭特殊教育學校,0,0,20,82
北,桃園市,桃園特殊教育學校,0,0,49,370
北,新竹縣,新竹特殊教育學校,0,36,38,167
中,臺中市,惠明盲校,5,28,30,0
中,臺中市,臺中啟明學校,0,15,22,80
中,彰化縣,和美實驗學校,4,26,59,136
中,彰化縣,彰化特殊教育學校,13,32,60,189
中,南投縣,南投特殊教育學校,0,19,29,90
南,臺南市,臺南大學附屬啟聰學校,28,30,12,98
南,高雄市,仁武特殊教育學校,5,27,28,73
南,屏東縣,屏東特殊教育學校,0,19,24,130
東,臺東縣,臺東大學附屬特教學校,0,24,24,61
東,花蓮縣,花蓮特殊教育學校,0,16,33,94
中,臺中市,臺中特殊教育學校,13,0,0,352
中,臺中市,臺中啟聰學校,25,47,46,141
南,嘉義市,嘉義特殊教育學校,7,50,46,180
南,臺南市,臺南啟智學校,7,32,51,188
中,雲林縣,雲林特殊教育學校,3,45,32,117
北,臺北市,臺北市立啟聰學校,32,22,22,61
北,臺北市,臺北市立啟智學校,16,13,35,214
北,臺北市,臺北市立啟明學校,17,8,11,68
北,臺北市,文山特殊教育學校,32,32,24,122
北,基隆市,基隆特殊教育學校,0,6,11,97
南,高雄市,楠梓特殊學校,0,23,33,128
南,高雄市,成功特殊教育學校,0,11,26,84
南,高雄市,高雄特殊教育學校,0,33,28,117
中,苗栗縣,苗栗特殊教育學校,0,0,21,97
